Ticker,Weekly Return (%)
INTC,-16.43232684740504
ALB,-16.31030006383564
LITE,-15.963497023790548
MU,-14.307273284977223
QCOM,-14.267671268393192
GLW,-13.90616539985878
SNDK,-13.863762355244821
CVNA,-13.393685247606019
COIN,-12.5392441813364
CEG,-12.440499793574874
