Date,SNDK,WDC,MU,STX,INTC,COHR,FIX,GLW,AMD,VRT
2025-05-31,,,,,,,,,,
2025-06-30,20.323693623018222,24.363213040493203,30.478510457356744,23.02561793147091,14.578007635248591,17.955840703724157,12.123878534935773,6.049595065154056,28.149543569574,19.016019027350218
2025-07-31,-5.3583249987592785,22.97235146967602,-11.364926438541257,8.785422729344994,-11.607144757801201,20.614280437594235,31.161279665091037,20.25100195995293,24.249475082579195,13.386815148061348
2025-08-31,22.250707034437145,2.09681089154361,9.04343605023945,6.6174089641655165,22.979804645106938,-15.92007202261988,0.0826470649376132,6.425353505531195,-7.759056698548772,-12.396981977077527
2025-09-30,113.83646719636698,49.61385967920153,40.59322772744554,41.460033174014434,37.78233557068849,19.06709380706022,17.31639184282596,22.378044698969912,-0.516516984233617,18.308517597676577
2025-10-31,77.6559779435694,25.11245780585416,33.82149441860687,8.396172505261612,19.195238711935314,22.50278984262144,17.01447236365543,8.594412453819755,58.303977838869116,27.840387356347772
2025-11-30,12.015249449774945,8.734422215665095,5.679942274959249,8.132719091188022,1.4253555161292786,24.477103781152245,1.2389093126005335,-5.155778701506497,-15.067154878022626,-6.773276949657491
2025-12-31,6.314943649499427,5.558396142738298,20.73972615124515,-0.2087158155985036,-9.023667957324676,12.364552232185533,-4.468031261648687,3.990503737301543,-1.5492093670292584,-9.859228725043911
2026-01-31,142.7542287247309,45.254537955915765,45.36280479586428,48.040954829708625,25.934957450103457,14.959085580498655,22.373537328459726,17.91913670582066,10.538845573162892,14.918830130416861
2026-02-28,10.257698108731027,11.7771652008013,-0.6049931713547285,0.036787854878883586,-1.8506576022391363,22.033180136562503,25.152793851487697,45.918336223972034,-15.426853239039474,36.905145340989854
2026-03-31,-0.0031412894349491793,-3.246530743683018,-18.039158750816064,-3.7751552021242474,-3.2449013866060583,-8.002157551465483,-3.4745124152312235,-9.582393399533895,1.6083042075494047,-1.6675253237987686
2026-04-30,72.58632596983634,60.6417999561343,53.07837400853326,71.95221509501455,114.0947225700323,34.21350171871958,33.44912059684062,20.791353988865357,74.25650248110034,31.091862013732662
2026-05-31,21.568430556375052,5.560159319011038,31.785136789167765,9.97565624751402,14.489833113460682,13.487221628869928,0.8100376504130313,8.71285745249768,18.7593449270691,3.421723975191293
